feature,importance
ordinal__locality_region_id,0.43840876
log_num__total_area_m2,0.06735297
ordinal__building_condition,0.06435688
log_num__usable_area_m2,0.06294524
cat__ownership_type,0.05170908
num__distance_to_city_center_km,0.042861357
bool__has_terrace,0.026382776
bool__has_elevator,0.025984278
cat__category_sub,0.025125204
te_region_category__region_category,0.02031439
te_municipality_id__municipality_id,0.01674152
ordinal__energy_class,0.015399582
bool__has_garage,0.013202145
num__longitude,0.012296515
num__area_per_room,0.011847091
num__latitude,0.011681857
te_district_id__district_id,0.009736657
cat__construction_type,0.007408288
te_street_neighborhood__street_neighborhood,0.0068052216
te_region_condition__region_condition,0.006267694
num__grocery_nearest_km,0.005310605
te_construction_year__construction_year,0.004681896
structural__total_floors,0.0045453114
num__building_age,0.0041796044
cat__is_furnished,0.0039737793
bool__is_top_floor,0.0038629724
bool__has_loggia,0.0038350762
structural__floor_number,0.0035282949
num__transport_nearest_km,0.003355028
log_num__loggia_area_m2,0.003327683
cat__location_type,0.0032286132
bool__has_cellar,0.0031465453
bool__total_area_m2_was_missing,0.0030826104
log_num__cellar_area_m2,0.0029819752
ordinal__updated_quarter,0.0027779401
ordinal__updated_month,0.0027059487
bool__has_construction_year,0.0023985335
num__floor_ratio,0.0022501717
