segment,group,n,MedAPE,MAPE,wMAPE,MAE,R2
locality_region_id,14,139,0.0642720920674065,0.09677479416131973,0.09746645293362516,726515.5625,0.8827956318855286
locality_region_id,10,397,0.06726949559647719,0.09607156366109848,0.104532607366129,1261731.75,0.8975568413734436
locality_region_id,11,136,0.0732625932997541,0.1198742538690567,0.11395694875824815,794364.8125,0.8543076515197754
locality_region_id,7,31,0.08914097744360902,0.14086171984672546,0.10440401039014366,494478.34375,0.8741008043289185
locality_region_id,9,34,0.0950877119883041,0.10803177952766418,0.11506815540308088,664831.3125,0.7787365913391113
locality_region_id,8,59,0.09890931863727455,0.13169550895690918,0.1338805234067471,750119.9375,0.7537375688552856
locality_region_id,2,60,0.10356993413842094,0.16518361866474152,0.1386133939607803,690792.0625,0.8206238150596619
locality_region_id,6,50,0.10450929694229114,0.14214834570884705,0.1158810747921867,708289.125,0.8879134058952332
locality_region_id,12,73,0.1057304054054054,0.14510953426361084,0.13120152023635293,599369.375,0.9050852060317993
locality_region_id,13,34,0.1068191578464197,0.1538347750902176,0.1374062679859062,608757.5625,0.6964728832244873
locality_region_id,3,63,0.11565192678227361,0.20831064879894257,0.19967037828832285,1013478.125,0.7006700038909912
locality_region_id,1,66,0.12141232341704228,0.15390051901340485,0.133952890686087,769525.125,0.8722437620162964
locality_region_id,4,69,0.12233447955390335,0.16083191335201263,0.16354144281422534,543267.3125,0.7430031895637512
locality_region_id,5,52,0.12938952671894233,0.18109938502311707,0.1710469155144532,971784.5625,0.7229937314987183
