osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/7115345508,Stop Cafe,48.619085,14.324683,convenience,shop=convenience
node/5317875942,JIP,48.6208056,14.2592679,convenience,shop=convenience
node/573380566,Coop,48.6313031,14.1661016,convenience,shop=convenience
node/9929271670,Coop Tuty,48.6399527,14.2303237,convenience,shop=convenience
node/7117206057,Robin Oil,48.6540049,14.3699448,convenience,shop=convenience
way/286251251,Stop Cafe,48.6648819,14.1679228,convenience,shop=convenience
node/4416544787,COOP Jednota,48.6861807,14.5774803,convenience,shop=convenience
node/5099035572,Coop,48.7227102,16.9576522,convenience,shop=convenience
node/12400857917,Coop,48.7245606,16.9661922,convenience,shop=convenience
way/98038640,Stop Cafe,48.7348613,16.8580753,convenience,shop=convenience
node/2461023232,Coop,48.7391746,14.4932471,convenience,shop=convenience
node/4778861292,Coop Tuty,48.7395348,14.1143236,convenience,shop=convenience
node/3188359955,Coop,48.7424849,16.7566115,convenience,shop=convenience
node/13459802294,Coop,48.7438697,16.7671315,convenience,shop=convenience
way/394150953,Stop Cafe,48.7441729,16.7687462,convenience,shop=convenience
node/13686173400,Fresh Corner,48.7497197,14.4839756,convenience,shop=convenience
node/8913943042,Coop,48.7499156,16.8956849,convenience,shop=convenience
node/13341904911,Večerka Čpaka,48.7586574,16.8507761,convenience,shop=convenience
node/8085492037,Coop,48.7623434,16.990402,convenience,shop=convenience
node/6949636251,COOP Jednota,48.7672804,16.8465002,convenience,shop=convenience
node/12176932581,Hruška,48.7694479,16.8898288,convenience,shop=convenience
way/235994255,Stop Cafe,48.770452,14.9580639,convenience,shop=convenience
node/13281391626,Coop,48.7736549,16.885622,convenience,shop=convenience
node/7848745272,Coop,48.7739928,16.7636229,convenience,shop=convenience
node/2409605343,Coop Tuty,48.7744368,14.4673105,convenience,shop=convenience
node/12317930647,Stop Cafe,48.7775919,16.8982571,convenience,shop=convenience
node/13410150827,Coop,48.7787333,16.6939569,convenience,shop=convenience
node/1217960531,Coop,48.7787546,17.0130705,convenience,shop=convenience
node/3750729577,A+S,48.778903,16.9015219,convenience,shop=convenience
way/351915410,Tesco,48.7803225,16.9031544,convenience,shop=convenience
node/4009316057,COOP Jednota,48.7813967,14.3522537,convenience,shop=convenience
node/3704229304,Coop Tuty,48.7881985,13.9532525,convenience,shop=convenience
node/13001810851,Viva,48.7922602,15.9849013,convenience,shop=convenience
node/518296132,Coop,48.7939581,16.9717208,convenience,shop=convenience
way/311433303,Fresh Corner,48.7980664,16.6326078,convenience,shop=convenience
node/13001465435,OMV,48.8002262,16.7850175,convenience,shop=convenience
node/3396463780,Jednota,48.8003498,16.1022689,convenience,shop=convenience
node/13640713994,Shell Select,48.8057304,16.6258165,convenience,shop=convenience
