osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/7777442167,"Vyšší brod, Studánky",48.5906742,14.325833,bus_stop,bus=yes
node/11039511086,"Vyší Brod, Studánky, Kloc",48.5933522,14.3265238,bus_stop,bus=yes
node/11039510002,"Vyší Brod, Dolní Drkolná",48.5948109,14.3527484,bus_stop,bus=yes
node/11039511088,"Horní Dvořiště, Český Heršlák",48.5993412,14.421334,bus_stop,bus=yes
node/11039510411,"Přední Výtoň, Spáleniště",48.6018234,14.1742196,bus_stop,bus=yes
node/444629960,Horní Dvořiště,48.6041926,14.4046559,bus_stop,bus=yes
node/11039510409,"Přední Výtoň, Pasečná",48.6101974,14.1079399,bus_stop,bus=yes
node/11039511083,"Vyšší Brod, škola",48.6138361,14.3115547,bus_stop,bus=yes
node/5316664145,,48.6143442,14.3119164,bus_stop,bus=yes
node/444634478,"Vyšší Brod, nám.",48.6169218,14.311072,bus_stop,bus=yes
node/13674530022,"Vyšší Brod, nám.",48.6171921,14.3110834,bus_stop,bus=yes
node/11039510423,"Loučovice, pila",48.6174803,14.2466995,bus_stop,bus=yes
node/11039511080,"Vyší Brod, Těchoraz",48.618655,14.3229258,bus_stop,bus=yes
node/10314814083,Loučovice,48.619746,14.2602709,bus_stop,bus=yes
node/11039510994,"Vyší Brod, Herbertov",48.6202062,14.3510049,bus_stop,bus=yes
node/11039510421,"Loučovice, Svatý Prokop",48.6216522,14.2423652,bus_stop,bus=yes
node/11039511082,"Vyšší Brod, klášter",48.6222612,14.3068002,bus_stop,bus=yes
node/3796943823,"Vyšší Brod, klášter",48.6224519,14.3064452,bus_stop,bus=yes
node/11039510387,"Vyší Brod, žel. st.",48.6231185,14.3093533,bus_stop,bus=yes
node/11039510388,"Vyší Brod, žel. st.",48.6235928,14.3081892,bus_stop,bus=yes
node/11039510386,"Vyší Brod, Hrudkov",48.6263215,14.314277,bus_stop,bus=yes
node/11039510996,"Dolní Dvořiště, Horní Dvořiště rozc.",48.6272366,14.4078849,bus_stop,bus=yes
node/11039510415,"Loučovice, Nové Domky",48.6276831,14.2140096,bus_stop,bus=yes
node/5318700464,"Dolní Dvořiště,,rozc.Rožmberk 4.0",48.6290131,14.3711887,bus_stop,bus=yes
node/5318700462,"Dolní Dvořiště,,rozc.Rožmberk 4.0",48.6291115,14.3720283,bus_stop,bus=yes
